Name,Orion filepath,H&E GT450 filepath,Mask filepath,Quantification table
CRC01,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round1\P37_S29_A24_C59kX_E15@20220106_014304_946511.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\18459$LSP10353$US$SCAN$OR$001 _093059-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round1\P37_S29-CRC01\segmentation\P37_S29_A24_C59kX_E15@20220106_014304_946511\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S29-CRC01\quantification\P37_S29_A24_C59kX_E15@20220106_014304_946511_cellRingMask.csv
CRC02,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round1\P37_S30_A24_C59kX_E15@20220106_014319_409148.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\18459$LSP10364$US$SCAN$OR$001 _092347-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round1\P37_S30-CRC02\segmentation\P37_S30_A24_C59kX_E15@20220106_014319_409148\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S30-CRC02\quantification\P37_S30_A24_C59kX_E15@20220106_014319_409148_cellRingMask.csv
CRC03,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round1\P37_S31_A24_C59kX_E15@20220106_014409_014236.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\18459$LSP10375$US$SCAN$OR$001 _092147-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round1\P37_S31-CRC03\segmentation\P37_S31_A24_C59kX_E15@20220106_014409_014236\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S31-CRC03\quantification\P37_S31_A24_C59kX_E15@20220106_014409_014236_cellRingMask.csv
CRC04,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round1\P37_S32_A24_C59kX_E15@20220106_014630_553652.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\18459$LSP10388$US$SCAN$OR$001 _091155-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round1\P37_S32-CRC04\segmentation\P37_S32_A24_C59kX_E15@20220106_014630_553652\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S32-CRC04\quantification\P37_S32_A24_C59kX_E15@20220106_014630_553652_cellRingMask.csv
CRC05,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round1\P37_S33_A24_C59kX_E15@20220107_180446_881530.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\18459$LSP10397$US$SCAN$OR$001 _091631-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round1\P37_S33-CRC05\segmentation\P37_S33_A24_C59kX_E15@20220107_180446_881530\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S33-CRC05\quantification\P37_S33_A24_C59kX_E15@20220107_180446_881530_cellRingMask.csv
CRC06,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round1\P37_S34_A24_C59kX_E15@20220107_202112_212579.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\18459$LSP10408$US$SCAN$OR$001 _092559-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round1\P37_S34-CRC06\segmentation\P37_S34_A24_C59kX_E15@20220107_202112_212579\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S34-CRC06\quantification\P37_S34_A24_C59kX_E15@20220107_202112_212579_cellRingMask.csv
CRC07,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round1\P37_S35_A24_C59kX_E15@20220108_012037_490594.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\18459$LSP10419$US$SCAN$OR$001 _090907-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round1\P37_S35-CRC07\segmentation\P37_S35_A24_C59kX_E15@20220108_012037_490594\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S35-CRC07\quantification\P37_S35_A24_C59kX_E15@20220108_012037_490594_cellRingMask.csv
CRC08,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round3\P37_S57_Full_A24_C59nX_E15@20220224_011032_774034.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C8$US$SCAN$OR$001 _150825-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round3\P37_S57-CRC08\segmentation\P37_S57_Full_A24_C59nX_E15@20220224_011032_774034\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S57-CRC08\quantification\P37_S57_Full_A24_C59nX_E15@20220224_011032_774034_cellRingMask.csv
CRC09,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round1\P37_S37_A24_C59kX_E15@20220108_012113_953544.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\18459$LSP10441$US$SCAN$OR$001 _091844-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round1\P37_S37-CRC09\segmentation\P37_S37_A24_C59kX_E15@20220108_012113_953544\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S37-CRC09\quantification\P37_S37_A24_C59kX_E15@20220108_012113_953544_cellRingMask.csv
CRC10,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round1\P37_S38_A24_C59kX_E15@20220108_012130_664519.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\18459$LSP10452$US$SCAN$OR$001 _091355-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round1\P37_S38-CRC10\segmentation\P37_S38_A24_C59kX_E15@20220108_012130_664519\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S38-CRC10\quantification\P37_S38_A24_C59kX_E15@20220108_012130_664519_cellRingMask.csv
CRC11,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round2\P37_S43_Full_A24_C59mX_E15@20220128_171510_544056.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C11$US$SCAN$OR$001 _151039-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round2\P37_S43-CRC11\segmentation\P37_S43_Full_A24_C59mX_E15@20220128_171510_544056\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S43-CRC11\quantification\P37_S43_Full_A24_C59mX_E15@20220128_171510_544056_cellRingMask.csv
CRC12,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round2\P37_S44_Full_A24_C59mX_E15@20220128_171448_903938.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C12$US$SCAN$OR$001 _151249-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round2\P37_S44-CRC12\segmentation\P37_S44_Full_A24_C59mX_E15@20220128_171448_903938\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S44-CRC12\quantification\P37_S44_Full_A24_C59mX_E15@20220128_171448_903938_cellRingMask.csv
CRC13,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round2\P37_S45_Full_A24_C59mX_E15@20220128_171409_633341.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C13$US$SCAN$OR$001 _151503-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round2\P37_S45-CRC13\segmentation\P37_S45_Full_A24_C59mX_E15@20220128_171409_633341\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S45-CRC13\quantification\P37_S45_Full_A24_C59mX_E15@20220128_171409_633341_cellRingMask.csv
CRC14,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round2\P37_S46_Full_A24_C59mX_E15@20220128_013821_398547.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C14$US$SCAN$OR$001 _151737-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round2\P37_S46-CRC14\segmentation\P37_S46_Full_A24_C59mX_E15@20220128_013821_398547\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S46-CRC14\quantification\P37_S46_Full_A24_C59mX_E15@20220128_013821_398547_cellRingMask.csv
CRC15,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round2\P37_S47_Full_A24_C59mX_E15@20220128_020654_901143.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C15$US$SCAN$OR$001 _152234-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round2\P37_S47-CRC15\segmentation\P37_S47_Full_A24_C59mX_E15@20220128_020654_901143\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S47-CRC15\quantification\P37_S47_Full_A24_C59mX_E15@20220128_020654_901143_cellRingMask.csv
CRC16,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round2\P37_S48_Full_A24_C59mX_E15@20220129_015105_865195.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C16$US$SCAN$OR$001 _152020-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round2\P37_S48-CRC16\segmentation\P37_S48_Full_A24_C59mX_E15@20220129_015105_865195\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S48-CRC16\quantification\P37_S48_Full_A24_C59mX_E15@20220129_015105_865195_cellRingMask.csv
CRC17,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round2\P37_S49_Full_A24_C59mX_E15@20220129_015121_911264.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C17$US$SCAN$OR$001 _152525-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round2\P37_S49-CRC17\segmentation\P37_S49_Full_A24_C59mX_E15@20220129_015121_911264\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S49-CRC17\quantification\P37_S49_Full_A24_C59mX_E15@20220129_015121_911264_cellRingMask.csv
CRC18,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round2\P37_S50_Full_A24_C59mX_E15@20220129_015242_755602.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C18$US$SCAN$OR$001 _152757-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round2\P37_S50-CRC18\segmentation\P37_S50_Full_A24_C59mX_E15@20220129_015242_755602\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S50-CRC18\quantification\P37_S50_Full_A24_C59mX_E15@20220129_015242_755602_cellRingMask.csv
CRC19,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round2\P37_S51_Full_A24_C59mX_E15@20220129_015300_669681.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C19$US$SCAN$OR$001 _153041-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round2\P37_S51-CRC19\segmentation\P37_S51_Full_A24_C59mX_E15@20220129_015300_669681\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S51-CRC19\quantification\P37_S51_Full_A24_C59mX_E15@20220129_015300_669681_cellRingMask.csv
CRC20,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round2\P37_S52_Full_A24_C59mX_E15@20220129_015324_574779.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C20$US$SCAN$OR$001 _153341-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round2\P37_S52-CRC20\segmentation\P37_S52_Full_A24_C59mX_E15@20220129_015324_574779\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S52-CRC20\quantification\P37_S52_Full_A24_C59mX_E15@20220129_015324_574779_cellRingMask.csv
CRC21,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round3\P37_S58_Full_A24_C59nX_E15@20220224_011058_014787.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C21$US$SCAN$OR$001 _153607-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round3\P37_S58-CRC21\segmentation\P37_S58_Full_A24_C59nX_E15@20220224_011058_014787\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S58-CRC21\quantification\P37_S58_Full_A24_C59nX_E15@20220224_011058_014787_cellRingMask.csv
CRC22,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round3\P37_S59_Full_A24_C59nX_E15@20220224_011113_455637.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C22$US$SCAN$OR$001 _092420-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round3\P37_S59-CRC22\segmentation\P37_S59_Full_A24_C59nX_E15@20220224_011113_455637\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S59-CRC22\quantification\P37_S59_Full_A24_C59nX_E15@20220224_011113_455637_cellRingMask.csv
CRC23,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round3\P37_S60_Full_A24_C59nX_E15@20220224_011127_971497.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C23$US$SCAN$OR$001 _154147-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round3\P37_S60-CRC23\segmentation\P37_S60_Full_A24_C59nX_E15@20220224_011127_971497\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S60-CRC23\quantification\P37_S60_Full_A24_C59nX_E15@20220224_011127_971497_cellRingMask.csv
CRC24,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\P37_CRCstudy_Round3\P37_S61_Full_A24_C59nX_E15@20220224_011149_079291.ome.tiff,\\research.files.med.harvard.edu\HITS\lsp-data\crc-scans\histowiz scans\registered-orion\19510$C24$US$SCAN$OR$001 _091904-registered.ome.tif,\\files.med.harvard.edu\ImStor\sorger\data\RareCyte\RareCyte-S3\YC-analysis\P37_CRCstudy_Round3\P37_S61-CRC24\segmentation\P37_S61_Full_A24_C59nX_E15@20220224_011149_079291\nucleiRingMask.tif,\\research.files.med.harvard.edu\HITS\lsp-analysis\crc-scans\C1-C40-sc-tables\P37_S61-CRC24\quantification\P37_S61_Full_A24_C59nX_E15@20220224_011149_079291_cellRingMask.csv
